,Type,Name,X,Y,Z,Width,PavementType,OnStructure,AutoVolume,AutoSpeedMph,MediumTruckVolume,MediumTruckSpeedMph,HeavyTruckVolume,HeavyTruckSpeedMph,BusVolume,BusSpeedMph,MotorcycleVolume,MotorcycleSpeedMph,ControlDevice,AffectedVehicles,ConstraintSpeedMph
22,Roadway,121-04349,-9530952.162738496,4621894.285551143,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
23,Roadway,121-04349,-9531065.708619107,4621857.40495583,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
24,Roadway,121-04349,-9531214.87673677,4621802.08431068,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
25,Roadway,121-04349,-9531319.517058115,4621753.856298567,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
26,Roadway,121-04349,-9531455.326836882,4621681.514704168,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
27,Roadway,121-04349,-9531521.00533645,4621643.216418886,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
28,Roadway,121-04349,-9531738.078343498,4621502.790592193,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
29,Roadway,121-04349,-9531989.66039269,4621341.090498582,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
30,Roadway,121-04349,-9532110.998637654,4621263.078204043,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
31,Roadway,121-04349,-9532172.224357592,4621223.363081241,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
