tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
114+12672,NE GLISAN ST,EASTBOUND,NE 181ST AVE,OR,MULTNOMAH,97230,45.5264,-122.49642,45.52641,-122.4771,0.935024,13.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,14509,997,251,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7255,499,126
114+12551,EASTMAN PKY,NORTHBOUND,NW BURNSIDE RD,OR,MULTNOMAH,97030,45.50447,-122.43559,45.5093,-122.43507,0.336896,3.0,America/Los_Angeles,P1.11,USA,1820,4,N,3,71317,2,,4,,1,1,,29091,3588,862,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14546,1794,431
114+12671,NE GLISAN ST,EASTBOUND,NE 162ND AVE,OR,MULTNOMAH,97230,45.52645,-122.51063,45.5264,-122.49642,0.687735,12.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,14519,998,252,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7260,499,126
114+12550,EASTMAN PKY,NORTHBOUND,NW DIVISION ST,OR,MULTNOMAH,97030,45.49713,-122.43826,45.50447,-122.43559,0.536572,2.0,America/Los_Angeles,P1.11,USA,1820,4,N,3,71317,2,,4,,1,1,,18565,1027,206,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9283,514,103
114P04493,I-84,EASTBOUND,181ST AVE/EXIT 13,OR,MULTNOMAH,97230,45.54226,-122.48384,45.54103,-122.4729,0.537043,29.0,America/Los_Angeles,P1.3,USA,95,1,N,1,71317,2,1,6,84,2,1,84,93359,2917,7799,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,46680,1459,3900
114+12674,NE GLISAN ST,EASTBOUND,NE 223RD AVE,OR,MULTNOMAH,97024,45.52664,-122.45516,45.52784,-122.4336,1.057472,15.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,16464,2087,303,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,8232,1044,152
114P04492,I-84,EASTBOUND,122ND AVE/EXIT 10,OR,MULTNOMAH,97230,45.54653,-122.53817,45.54564,-122.53322,0.24728,27.0,America/Los_Angeles,P1.3,USA,95,1,N,1,71317,2,1,6,84,2,1,84,102559,3086,9866,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,51280,1543,4933
114P04491,I-84,EASTBOUND,I-84/US-30/EXIT 9,OR,MULTNOMAH,97220,45.54716,-122.55453,45.5474,-122.55075,0.18382,25.001,America/Los_Angeles,P1.1,USA,95,2,N,1,71317,2,,4,84,2,1,84,49282,1630,3133,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,24641,815,1567
114+12673,NE GLISAN ST,EASTBOUND,NE 202ND AVE,OR,MULTNOMAH,97230,45.52641,-122.4771,45.52664,-122.45516,1.064673,14.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,17284,2191,319,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,8642,1096,160
114P04490,I-84,EASTBOUND,102ND AVE/EXIT 9,OR,MULTNOMAH,97220,45.54362,-122.55917,45.54562,-122.5578,0.154068,24.0,America/Los_Angeles,P1.3,USA,95,2,N,1,71317,4,1,1,84,1,1,84,24386,1538,2713,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,24386,1538,2713
114+12675,NE GLISAN ST,EASTBOUND,NE 238TH DR/NE 242ND DR,OR,MULTNOMAH,97030,45.52784,-122.4336,45.52767,-122.41408,0.94487,16.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,14259,1811,264,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7130,906,132
114+12436,CHKALOV DR,NORTHBOUND,NE 112TH AVE,WA,CLARK,98683,45.61528,-122.55364,45.62234,-122.55659,0.554488,2.0,America/Los_Angeles,P1.11,USA,1785,4,N,3,71317,2,,4,,1,1,,20022,200,400,1,28,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10011,100,200
114+12677,N GOING ST,EASTBOUND,I-5,OR,MULTNOMAH,97217,45.55608,-122.69824,45.55612,-122.68017,0.875991,1.0,America/Los_Angeles,P1.3,USA,1850,4,N,4,71317,2,1,4,,1,1,,20029,2152,1692,5,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,10015,1076,846
114P05377,OR-213,NORTHBOUND,NE ALDERWOOD RD,OR,MULTNOMAH,97220,45.5757,-122.57769,45.57594,-122.57769,0.016579,48.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,6,,4,,1,1,,23084,1482,683,2,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11542,741,342
114P05376,OR-213,NORTHBOUND,NE COLUMBIA BLVD,OR,MULTNOMAH,97220,45.56464,-122.57767,45.56806,-122.57768,0.236255,46.0,America/Los_Angeles,P1.11,USA,113,4,N,3,71317,6,1,2,213,4,1,213,17768,697,221,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8884,349,111
